,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TotalSegments,TotalSections,AvgTatumDuration,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,Pitch6,Pitch7,Pitch8,Pitch9,Pitch10,Pitch11,Pitch12,Timbre1,Timbre2,Timbre3,Timbre4,Timbre5,Timbre6,Timbre7,Timbre8,Timbre9,Timbre10,Timbre11,Timbre12
7lPN2DXiMsVn7XUKtOW1CS,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014,4,609,12,0.2094,0.34399178981937595,0.3457668308702788,0.3629359605911323,0.3162183908045979,0.21937602627257785,0.40195894909688,0.20043678160919526,0.25550082101806254,0.14892775041050915,0.22517077175697872,0.5130295566502464,0.22802134646962202,43.41887192118227,-25.64528078817731,10.43609523809523,-13.120234811165844,35.52836288998356,-10.808326765188816,-1.9338489326765165,-0.8146108374384236,-3.065555008210183,-2.7732972085385836,-8.594970443349755,3.4909376026272576
5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4,642,7,0.2541,0.5113753894080996,0.3710140186915888,0.2922959501557631,0.26595794392523375,0.45211993769470443,0.2591401869158877,0.23246417445482878,0.37260124610591916,0.22406230529595017,0.3178021806853585,0.21810903426791298,0.3639267912772588,51.005417445482884,29.644157320872285,-13.30800155763242,-16.687789719626174,18.21351246105919,-23.55904517133957,4.732593457943926,-8.012144859813091,-8.985082554517145,-5.25097819314642,-8.145962616822425,-1.9150389408099688
0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,549,4,0.1755,0.690865209471767,0.6595227686703101,0.3332732240437158,0.3411147540983609,0.2698451730418942,0.4406830601092898,0.2716502732240436,0.3053806921675777,0.2717959927140255,0.24189071038251367,0.3029726775956282,0.24646083788706738,50.88434608378871,56.58153916211294,-13.154351548269595,-16.429000000000006,11.433358834244084,-21.427400728597455,7.636371584699457,-0.9036703096539157,8.23115664845172,1.5764936247723118,-13.18906010928961,-1.0235500910746813
4MzXwWMhyBbmu6hOcLVD49,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,631,8,0.2721,0.5369286846275753,0.5330966719492867,0.32363391442155304,0.28298573692551515,0.42162599049128346,0.2774215530903325,0.31661648177496005,0.3587242472266243,0.272296354992076,0.3717321711568935,0.2520142630744848,0.33718541996830426,44.45782250396197,-48.214659270998396,-1.9090396196513486,-3.4026038034865294,36.896209191759105,-13.970939778129956,20.69767194928684,8.75905071315373,-1.7510364500792392,0.3441901743264658,-13.382787638668795,-7.4249619651347025
5Kskr9LcNYa0tpt5f0ZEJx,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458,4,687,7,0.2855,0.4263391557496362,0.403218340611354,0.3961979621542942,0.21582678311499276,0.4779985443959242,0.23910480349345015,0.35613537117903915,0.20610043668122285,0.10674235807860286,0.12768995633187785,0.11827510917030569,0.38673071324599745,43.95290538573508,10.552289665211058,-36.85619505094618,0.7694832605531299,48.93309024745269,-8.305165938864622,-2.0613726346433765,-16.250110625909745,2.2360116448326055,2.1735895196506583,-20.926685589519625,3.8230582241630295
6tDDoYIxWvMLTdKpjFkc1B,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4,462,5,0.3572,0.3750995670995671,0.3596320346320346,0.3440519480519481,0.306116883116883,0.36990043290043306,0.2770324675324678,0.49122943722943735,0.38345670995671,0.2600367965367965,0.3312229437229438,0.26597835497835504,0.49629437229437273,46.0539134199134,15.791889610389614,-18.913142857142855,-19.315582251082255,17.087261904761917,-18.900082251082235,-4.117636363636367,-7.593965367965374,-0.35097835497835467,4.264885281385278,-14.777400432900437,-7.428874458874459
3VT8hOC5vuDXBsHrR53WFh,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,132780,4,507,4,0.2002,0.45005128205128186,0.6402721893491122,0.2855739644970413,0.22626232741617366,0.35914595660749565,0.31533727810650863,0.4489684418145958,0.380285996055227,0.209104536489152,0.20166469428007902,0.16262130177514805,0.18192702169625258,49.123854043392505,33.070088757396455,-45.63401577909273,-8.561508875739646,23.24919132149903,-16.069114398422094,-6.255828402366864,-7.630911242603558,-9.310303747534523,10.93845956607495,-18.928881656804727,-4.824644970414199
1xK1Gg9SxG8fy2Ya373oqb,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,860,13,0.1789,0.4307988372093024,0.4646523255813958,0.2367372093023257,0.3019430232558137,0.19835697674418606,0.35790232558139495,0.2840186046511627,0.289872093023256,0.3736081395348843,0.25812093023255844,0.35574651162790677,0.21691046511627898,49.480546511627864,38.76230581395352,11.457239534883705,14.553170930232561,26.262905813953427,-15.279301162790698,-10.838845348837207,0.7673604651162785,-3.6165093023255785,6.798026744186041,-14.97066511627906,-2.139575581395348
6f3Slt0GbA2bPZlz0aIFXN,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4,508,8,0.2504,0.3600866141732284,0.48592519685039365,0.268517716535433,0.3779527559055119,0.474411417322835,0.39451968503936985,0.4807401574803145,0.42649409448818915,0.5646889763779529,0.3746003937007875,0.34415748031496046,0.376732283464567,46.636407480314986,-5.556311023622047,-10.197082677165364,2.245029527559054,12.38335826771653,-8.909372047244096,-1.2956830708661426,2.303856299212599,-8.409659448818898,2.033375984251968,-14.097297244094479,1.8782539370078746
3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4,439,6,0.3296,0.5059453302961272,0.3820091116173122,0.3646993166287014,0.2949498861047838,0.2612095671981774,0.4309248291571752,0.2840842824601367,0.40894533029612734,0.24490432801822318,0.28511617312072884,0.3807562642369022,0.26117312072892923,52.39038724373578,38.57613667425969,11.150929384965826,-5.457986332574028,30.711318906605943,-10.756494305239178,-0.4897539863325731,-6.47833712984054,-4.769794988610475,0.7519794988610475,-10.736804100227797,-0.8478883826879265
