iter	Passed	Remaining
0	107	107023
1	216	107817
2	334	111236
3	447	111514
4	554	110396
5	657	108911
6	757	107455
7	860	106655
8	960	105712
9	1064	105416
10	1166	104902
11	1270	104597
12	1369	103979
13	1467	103364
14	1566	102893
15	1672	102838
16	1772	102475
17	1872	102163
18	1965	101484
19	2058	100879
20	2151	100296
21	2244	99770
22	2339	99388
23	2437	99110
24	2535	98870
25	2627	98412
26	2719	98018
27	2811	97592
28	2908	97396
29	3004	97148
30	3096	96790
31	3188	96446
32	3277	96054
33	3372	95820
34	3466	95571
35	3560	95347
36	3650	95019
37	3743	94780
38	3841	94647
39	3932	94374
40	4022	94094
41	4112	93801
42	4209	93674
43	4303	93506
44	4395	93284
45	4484	92996
46	4573	92741
47	4667	92578
48	4763	92453
49	4860	92354
50	4952	92161
51	5047	92019
52	5146	91955
53	5236	91741
54	5335	91668
55	5435	91628
56	5532	91527
57	5630	91447
58	5726	91331
59	5818	91155
60	5917	91097
61	6016	91019
62	6112	90909
63	6207	90790
64	6308	90743
65	6404	90640
66	6505	90591
67	6601	90483
68	6700	90403
69	6798	90318
70	6893	90192
71	6992	90123
72	7091	90053
73	7184	89903
74	7283	89835
75	7375	89665
76	7474	89597
77	7576	89563
78	7672	89445
79	7771	89366
80	7864	89224
81	7958	89098
82	8054	88985
83	8148	88857
84	8246	88776
85	8350	88751
86	8445	88624
87	8543	88541
88	8636	88407
89	8733	88309
90	8836	88263
91	8927	88115
92	9024	88012
93	9125	87958
94	9220	87837
95	9314	87709
96	9409	87594
97	9511	87547
98	9613	87491
99	9712	87408
100	9813	87347
101	9915	87294
102	10012	87192
103	10107	87076
104	10202	86964
105	10299	86868
106	10395	86760
107	10496	86691
108	10588	86553
109	10680	86417
110	10775	86299
111	10864	86143
112	10957	86012
113	11048	85869
114	11138	85720
115	11227	85564
116	11324	85464
117	11413	85312
118	11504	85173
119	11596	85042
120	11686	84896
121	11785	84813
122	11885	84743
123	11990	84707
124	12091	84641
125	12194	84586
126	12308	84605
127	12446	84789
128	12576	84915
129	12684	84885
130	12800	84912
131	12931	85035
132	13091	85337
133	13200	85307
134	13307	85265
135	13418	85245
136	13571	85492
137	13713	85660
138	13829	85661
139	13934	85597
140	14032	85487
141	14133	85396
142	14229	85279
143	14332	85200
144	14437	85133
145	14536	85028
146	14639	84947
147	14742	84867
148	14843	84774
149	14945	84690
150	15046	84598
151	15145	84498
152	15244	84394
153	15342	84283
